FilterID,calmar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,recovery_factory,risk_reward,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,-0.0391,2013-09-06,-0.1456,3,4,0.0391,343.8571,-0.00537,4.0000,-0.0518,21,0.4872,-0.7607,0.6496,-0.1108,-0.0057,-0.2796,1993-02-01,0.0205,0.0203,1.0197,0.4286,20.5941,
last_12mon,0.0000,2013-09-06,0.0000,1.0000,0.0000,0.0000,0.0000,-0.01882,4.0000,-0.0188,1,0.0000,0.0000,0.0000,-0.0188,-0.0009,0.0000,1993-02-01,0.0000,0.0000,0.0486,0.0000,20.5941,
mon03,0.0000,2013-09-06,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5941,
mon02,0.0000,2013-09-06,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5941,
mon01,0.0000,2013-09-06,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5941,
mon07,0.0000,2013-09-06,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5941,
mon06,0.0000,2013-09-06,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5941,
mon05,0.0000,2013-09-06,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5941,
mon04,0.0000,2013-09-06,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5941,
mon09,0.0000,2013-09-06,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5941,
mon08,-0.0391,2013-09-06,-0.1456,3,4,0.0391,343.8571,-0.00537,4.0000,-0.0518,21,0.4872,-0.7607,0.6496,-0.1108,-0.0057,-0.2796,1993-02-01,0.0205,0.0203,1.0197,0.4286,20.5941,
long,-0.0391,2013-09-06,-0.1456,3,4,0.0391,343.8571,-0.00537,4.0000,-0.0518,21,0.4872,-0.7607,0.6496,-0.1108,-0.0057,-0.2796,1993-02-01,0.0205,0.0203,1.0197,0.4286,20.5941,
winners,0.0000,2013-09-06,0.0000,0.0000,9.0000,0.0391,686.3333,0.01190,4.0000,0.0000,9,inf,0.0000,inf,0.1118,0.0060,1.1226,1993-02-01,0.0074,0.0103,0.4370,1.0000,20.5941,
last_6mon,0.0000,2013-09-06,0.0000,1.0000,0.0000,0.0000,0.0000,-0.01882,4.0000,-0.0188,1,0.0000,0.0000,0.0000,-0.0188,-0.0009,0.0000,1993-02-01,0.0000,0.0000,0.0486,0.0000,20.5941,
short,0.0000,2013-09-06,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5941,
last_18mon,-0.0574,2013-09-06,-0.0188,2.0000,0.0000,0.0000,180.0000,-0.01102,4.0000,-0.0188,2,0.0000,-1.1681,0.0000,-0.0220,-0.0011,-1.4514,1993-02-01,0.0024,0.0078,0.0971,0.0000,20.5941,
mon10,0.0000,2013-09-06,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5941,
mon11,0.0000,2013-09-06,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5941,
mon12,0.0000,2013-09-06,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5941,
losers,-0.0553,2013-09-06,-0.1953,12.0000,0.0000,0.0000,574.4167,-0.01832,4.0000,-0.0518,12,0.0000,-1.0252,0.0000,-0.2002,-0.0108,-1.1856,1993-02-01,0.0120,0.0157,0.5827,0.0000,20.5941,
wkd03,0.0000,2013-09-06,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5941,
wkd02,0.0000,2013-09-06,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5941,
wkd01,0.0000,2013-09-06,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5941,
wkd00,-0.0391,2013-09-06,-0.1456,3,4,0.0391,343.8571,-0.00537,4.0000,-0.0518,21,0.4872,-0.7607,0.6496,-0.1108,-0.0057,-0.2796,1993-02-01,0.0205,0.0203,1.0197,0.4286,20.5941,
wkd04,0.0000,2013-09-06,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5941,
